Saga,Title,Release,Cat1,Cat2,Cat3,Public,Score,Votes,Gross
The Matrix,The Matrix,1999,Action,Sci-Fi,,R,8.7,"1,528,044",171.48M
The Matrix,The Matrix Reloaded,2003,Action,Sci-Fi,,R,7.2,"482,701",281.49M
The Matrix,The Matrix Revolution,2003,Action,Sci-Fi,,R,6.7,"419,134",139.31M
