Saga,Title,Release,Cat1,Cat2,Cat3,Public,Score,Votes,Gross
Die Hard,Die Hard,1988,Action,Thriller,,R,8.2,"726,970",83.01M
Die Hard,Die Hard 2,1990,Action,Thriller,,R,7.2,"315,248",117.54M
Die Hard,Die Hard with a Vengeance,1995,Action,Adventure,Thriller,R,7.6,"343,273",100.01M
Die Hard,Live Free or Die Hard,2007,Action,Crime,Thriller,PG-13,7.1,"372,989",134.53M
Die Hard,A Good Day to Die Hard,2013,Action,Thriller,,R,5.3,"189,556",67.35M
