Saga,Title,Release,Cat1,Cat2,Cat3,Public,Score,Votes,Gross
Star Wars,The Phantom Menace,1999,Action,Adventure,Fantasy,PG,6.5,"660,101",474.54M
Star Wars,Attack of the Clones,2002,Action,Adventure,Fantasy,PG,6.6,"580,511",310.68M
Star Wars,Revenge of the Sith,2005,Action,Adventure,Fantasy,PG,7.5,"646,366",380.26M
Star Wars,A New Hope,1977,Action,Adventure,Fantasy,PG,8.6,"1,132,547",322.74M
Star Wars,The Empire Strikes Back,1980,Action,Adventure,Fantasy,PG,8.7,"1,063,520",290.48M
Star Wars,Return of the Jedi ,1983,Action,Adventure,Fantasy,PG,8.3,"870,736",309.13M
Star Wars,The Force Awakens,2015,Action,Adventure,Sci-Fi,PG-13,8,"790,891",936.66M
Star Wars,The Last Jedi,2017,Action,Adventure,Sci-Fi,PG-14,7.1,"470,434",620.18M
Star Wars,The Rise of Skywalker,2019,,,,,,,
