Saga,Title,Release,Cat1,Cat2,Cat3,Public,Score,Votes,Gross
Sherlock Holmes,Sherlock Holmes,2009,Action,Adventure,Crime,PG-13,7.6,"552,454",189.85M
Sherlock Holmes,A Game of Shadows,2011,Action,Adventure,Crime,PC-13,7.5,"396,993",209.03M
