Saga,Title,Release,Cat1,Cat2,Cat3,Public,Score,Votes,Gross
Back to the Future,Back to the Future,1985,Adventure,Comedy,Sci-Fi,PG,8.5,"949,325",210.61M
Back to the Future,Back to the Future Part II,1989,Adventure,Comedy,Sci-Fi,PG,7.8,"432,813",118.50M
Back to the Future,Back to the Future Part III,1990,Adventure,Comedy,Sci-Fi,PG,7.4,"364,306",87.73M
